type,date,symbol,currentPrice,open,previousClose,dayLow,dayHigh,recommendation,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,totalRevenue,revenuePerShare,totalDebt,debtToEquity,totalCash,totalCashPerShare,ebitda,earningsGrowth,revenueGrowth
Stock,2024-06-03T16:38:39.808371,DIS,102.7743,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:38:39.999465,BAC,39.62,40.04,39.99,39.61,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:38:40.193013,TSM,154.24,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:38:40.386228,CMCSA,39.8,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:38:50.491604,AAPL,194.26,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:38:50.589920,MSFT,414.775,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:38:50.683684,AMZN,177.2,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:38:50.786823,GOOGL,172.26,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:38:50.896500,META,475.845,470.87,466.83,468.24,477.43,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
Stock,2024-06-03T16:38:50.999173,TSLA,179.86,178.35,178.08,177.25,182.6389,hold,294.72,21.05,164.83,163.48,2.8,94745001984,29.803,9911000064,15.206,26862999552,8.423,12264999936,-0.534,-0.087
Stock,2024-06-03T16:38:51.100859,BRK-A,185.1,625735.0,627400.0,185.1,626164.25,buy,734820.0,660000.0,697410.0,697410.0,2.5,368958013440,255402.66,122753998848,21.246,188992995328,131537.44,107046002688,-0.638,0.052
Stock,2024-06-03T16:38:51.200645,JNJ,148.4432,147.25,146.67,146.825,148.88,buy,198.01,142.75,158.56,156.57,2.3,85647998976,34.477,33632000000,48.032,26218000384,10.894,30613000192,No Data,0.023
Stock,2024-06-03T16:38:51.298650,JPM,201.31,202.31,202.63,201.08,202.42,buy,230.0,157.7,208.05,213.5,2.0,150000992256,51.308,840650981376,No Data,1626683998208,566.46,No Data,0.083,0.111
Stock,2024-06-03T16:38:51.394184,NVDA,1136.14,1135.89,1096.33,1130.2,1143.84,buy,1289.4,440.61,1050.13,1105.2,1.8,79773999104,32.336,10990999552,22.366,31438000128,12.769,49274998784,6.293,2.621
Stock,2024-06-03T16:38:51.492568,V,270.97,273.09,272.46,270.37,273.13,buy,313.14,244.06,285.85,285.97,1.9,34140999680,16.876,20603000832,50.89,17703000064,8.85,23942000640,0.124,0.099
Stock,2024-06-03T16:38:51.589961,UNH,496.2,494.13,495.37,493.87,498.68,buy,675.0,460.0,570.92,569.5,1.8,379486994432,410.145,73637003264,75.979,32710000640,35.539,35001999360,No Data,0.086
Stock,2024-06-03T16:38:51.689277,HD,332.405,333.65,334.87,329.538,333.65,buy,391.43,276.3,351.08,359.19,2.3,151830003712,152.785,52005998592,2857.473,4264000000,4.3,24508000256,-0.05,-0.023
Stock,2024-06-03T16:38:51.809585,PG,166.015,163.93,164.54,163.69,166.065,buy,168.54,143.68,158.25,160.25,2.1,84059996160,35.616,31982000128,63.541,6828000256,2.893,24217999360,0.106,0.006
Stock,2024-06-03T16:38:52.118429,MA,442.015,443.48,447.07,441.135,444.955,buy,566.41,390.69,471.91,473.46,1.8,25698000896,27.367,15628999680,213.862,7656999936,8.237,15752999936,0.304,0.104
Stock,2024-06-03T16:38:52.218657,PYPL,63.26,63.03,62.99,62.58,63.41,buy,110.52,55.26,70.36,69.49,2.4,30429999104,28.001,11658000384,56.313,14318000128,13.688,5658999808,0.186,0.094
Stock,2024-06-03T16:38:52.321552,DIS,102.785,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:38:52.422211,BAC,39.62,40.04,39.99,39.61,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:38:52.526145,TSM,154.1,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:38:52.626882,CMCSA,39.8,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:39:02.761479,AAPL,194.235,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:39:02.855900,MSFT,414.55,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:39:02.950798,AMZN,177.12,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:39:03.058044,GOOGL,172.24,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:39:03.160227,META,475.685,470.87,466.83,468.24,477.43,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
Stock,2024-06-03T16:39:03.261110,TSLA,179.565,178.35,178.08,177.25,182.6389,hold,294.72,21.05,164.83,163.48,2.8,94745001984,29.803,9911000064,15.206,26862999552,8.423,12264999936,-0.534,-0.087
Stock,2024-06-03T16:39:03.355769,BRK-A,185.1,625735.0,627400.0,185.1,626164.25,buy,734820.0,660000.0,697410.0,697410.0,2.5,368958013440,255402.66,122753998848,21.246,188992995328,131537.44,107046002688,-0.638,0.052
Stock,2024-06-03T16:39:03.444765,JNJ,148.4,147.25,146.67,146.825,148.88,buy,198.01,142.75,158.56,156.57,2.3,85647998976,34.477,33632000000,48.032,26218000384,10.894,30613000192,No Data,0.023
Stock,2024-06-03T16:39:03.567485,JPM,201.29,202.31,202.63,201.08,202.42,buy,230.0,157.7,208.05,213.5,2.0,150000992256,51.308,840650981376,No Data,1626683998208,566.46,No Data,0.083,0.111
Stock,2024-06-03T16:39:03.672932,NVDA,1136.3636,1135.89,1096.33,1130.2,1143.84,buy,1289.4,440.61,1050.13,1105.2,1.8,79773999104,32.336,10990999552,22.366,31438000128,12.769,49274998784,6.293,2.621
Stock,2024-06-03T16:39:03.787886,V,271.005,273.09,272.46,270.37,273.13,buy,313.14,244.06,285.85,285.97,1.9,34140999680,16.876,20603000832,50.89,17703000064,8.85,23942000640,0.124,0.099
Stock,2024-06-03T16:39:03.883876,UNH,496.1619,494.13,495.37,493.87,498.68,buy,675.0,460.0,570.92,569.5,1.8,379486994432,410.145,73637003264,75.979,32710000640,35.539,35001999360,No Data,0.086
Stock,2024-06-03T16:39:03.985258,HD,332.4,333.65,334.87,329.538,333.65,buy,391.43,276.3,351.08,359.19,2.3,151830003712,152.785,52005998592,2857.473,4264000000,4.3,24508000256,-0.05,-0.023
Stock,2024-06-03T16:39:04.084728,PG,166.02,163.93,164.54,163.69,166.065,buy,168.54,143.68,158.25,160.25,2.1,84059996160,35.616,31982000128,63.541,6828000256,2.893,24217999360,0.106,0.006
Stock,2024-06-03T16:39:04.198879,MA,442.015,443.48,447.07,441.135,444.955,buy,566.41,390.69,471.91,473.46,1.8,25698000896,27.367,15628999680,213.862,7656999936,8.237,15752999936,0.304,0.104
Stock,2024-06-03T16:39:04.299742,PYPL,63.2,63.03,62.99,62.58,63.41,buy,110.52,55.26,70.36,69.49,2.4,30429999104,28.001,11658000384,56.313,14318000128,13.688,5658999808,0.186,0.094
Stock,2024-06-03T16:39:04.403185,DIS,102.7701,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:39:04.500842,BAC,39.61,40.04,39.99,39.6,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:39:04.597723,TSM,154.04,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:39:04.703754,CMCSA,39.79,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:39:14.806088,AAPL,194.18,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:39:14.913985,MSFT,414.4676,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:39:15.009829,AMZN,177.075,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:39:15.109292,GOOGL,172.16,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:39:15.211224,META,474.84,470.87,466.83,468.24,477.43,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
Stock,2024-06-03T16:39:15.651473,TSLA,179.635,178.35,178.08,177.25,182.6389,hold,294.72,21.05,164.83,163.48,2.8,94745001984,29.803,9911000064,15.206,26862999552,8.423,12264999936,-0.534,-0.087
Stock,2024-06-03T16:39:16.392571,BRK-A,185.1,625735.0,627400.0,185.1,626164.25,buy,734820.0,660000.0,697410.0,697410.0,2.5,368958013440,255402.66,122753998848,21.246,188992995328,131537.44,107046002688,-0.638,0.052
Stock,2024-06-03T16:39:16.492256,JNJ,148.44,147.25,146.67,146.825,148.88,buy,198.01,142.75,158.56,156.57,2.3,85647998976,34.477,33632000000,48.032,26218000384,10.894,30613000192,No Data,0.023
Stock,2024-06-03T16:39:16.594411,JPM,201.27,202.31,202.63,201.08,202.42,buy,230.0,157.7,208.05,213.5,2.0,150000992256,51.308,840650981376,No Data,1626683998208,566.46,No Data,0.083,0.111
Stock,2024-06-03T16:39:16.704057,NVDA,1135.5795,1135.89,1096.33,1130.2,1143.84,buy,1289.4,440.61,1050.13,1105.2,1.8,79773999104,32.336,10990999552,22.366,31438000128,12.769,49274998784,6.293,2.621
Stock,2024-06-03T16:39:16.858074,V,270.96,273.09,272.46,270.37,273.13,buy,313.14,244.06,285.85,285.97,1.9,34140999680,16.876,20603000832,50.89,17703000064,8.85,23942000640,0.124,0.099
Stock,2024-06-03T16:39:16.960303,UNH,496.1619,494.13,495.37,493.87,498.68,buy,675.0,460.0,570.92,569.5,1.8,379486994432,410.145,73637003264,75.979,32710000640,35.539,35001999360,No Data,0.086
Stock,2024-06-03T16:39:17.063051,HD,332.32,333.65,334.87,329.538,333.65,buy,391.43,276.3,351.08,359.19,2.3,151830003712,152.785,52005998592,2857.473,4264000000,4.3,24508000256,-0.05,-0.023
Stock,2024-06-03T16:39:17.160502,PG,166.13,163.93,164.54,163.69,166.13,buy,168.54,143.68,158.25,160.25,2.1,84059996160,35.616,31982000128,63.541,6828000256,2.893,24217999360,0.106,0.006
Stock,2024-06-03T16:39:17.269616,MA,442.08,443.48,447.07,441.135,444.955,buy,566.41,390.69,471.91,473.46,1.8,25698000896,27.367,15628999680,213.862,7656999936,8.237,15752999936,0.304,0.104
Stock,2024-06-03T16:39:17.365474,PYPL,63.27,63.03,62.99,62.58,63.41,buy,110.52,55.26,70.36,69.49,2.4,30429999104,28.001,11658000384,56.313,14318000128,13.688,5658999808,0.186,0.094
Stock,2024-06-03T16:39:17.522340,DIS,102.77,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:39:17.621283,BAC,39.625,40.04,39.99,39.6,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:39:17.721431,TSM,153.91,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:39:17.822167,CMCSA,39.805,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:39:27.931328,AAPL,194.1965,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:39:28.027673,MSFT,414.3701,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:39:28.131891,AMZN,177.07,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:39:28.234376,GOOGL,172.18,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:39:28.340348,META,474.201,470.87,466.83,468.24,477.43,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
Stock,2024-06-03T16:39:28.444452,TSLA,179.625,178.35,178.08,177.25,182.6389,hold,294.72,21.05,164.83,163.48,2.8,94745001984,29.803,9911000064,15.206,26862999552,8.423,12264999936,-0.534,-0.087
Stock,2024-06-03T16:39:28.546339,BRK-A,185.1,625735.0,627400.0,185.1,626164.25,buy,734820.0,660000.0,697410.0,697410.0,2.5,368958013440,255402.66,122753998848,21.246,188992995328,131537.44,107046002688,-0.638,0.052
Stock,2024-06-03T16:39:28.650206,JNJ,148.46,147.25,146.67,146.825,148.88,buy,198.01,142.75,158.56,156.57,2.3,85647998976,34.477,33632000000,48.032,26218000384,10.894,30613000192,No Data,0.023
Stock,2024-06-03T16:39:28.747357,JPM,201.27,202.31,202.63,201.08,202.42,buy,230.0,157.7,208.05,213.5,2.0,150000992256,51.308,840650981376,No Data,1626683998208,566.46,No Data,0.083,0.111
Stock,2024-06-03T16:39:28.847183,NVDA,1135.2979,1135.89,1096.33,1130.2,1143.84,buy,1289.4,440.61,1050.13,1105.2,1.8,79773999104,32.336,10990999552,22.366,31438000128,12.769,49274998784,6.293,2.621
Stock,2024-06-03T16:39:28.953041,V,271.005,273.09,272.46,270.37,273.13,buy,313.14,244.06,285.85,285.97,1.9,34140999680,16.876,20603000832,50.89,17703000064,8.85,23942000640,0.124,0.099
Stock,2024-06-03T16:39:29.057286,UNH,496.47,494.13,495.37,493.87,498.68,buy,675.0,460.0,570.92,569.5,1.8,379486994432,410.145,73637003264,75.979,32710000640,35.539,35001999360,No Data,0.086
Stock,2024-06-03T16:39:29.154538,HD,332.32,333.65,334.87,329.538,333.65,buy,391.43,276.3,351.08,359.19,2.3,151830003712,152.785,52005998592,2857.473,4264000000,4.3,24508000256,-0.05,-0.023
Stock,2024-06-03T16:39:29.253610,PG,166.19,163.93,164.54,163.69,166.19,buy,168.54,143.68,158.25,160.25,2.1,84059996160,35.616,31982000128,63.541,6828000256,2.893,24217999360,0.106,0.006
Stock,2024-06-03T16:39:29.355535,MA,442.08,443.48,447.07,441.135,444.955,buy,566.41,390.69,471.91,473.46,1.8,25698000896,27.367,15628999680,213.862,7656999936,8.237,15752999936,0.304,0.104
Stock,2024-06-03T16:39:29.458198,PYPL,63.27,63.03,62.99,62.58,63.41,buy,110.52,55.26,70.36,69.49,2.4,30429999104,28.001,11658000384,56.313,14318000128,13.688,5658999808,0.186,0.094
Stock,2024-06-03T16:39:29.558255,DIS,102.75,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:39:29.661310,BAC,39.65,40.04,39.99,39.6,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:39:29.762854,TSM,153.75,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:39:29.860881,CMCSA,39.8499,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:39:39.989638,AAPL,194.19,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:39:40.086020,MSFT,414.4,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:39:40.183128,AMZN,177.07,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:39:40.278763,GOOGL,172.19,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:39:40.380961,META,474.325,470.87,466.83,468.24,477.43,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
Stock,2024-06-03T16:39:40.480763,TSLA,179.7102,178.35,178.08,177.25,182.6389,hold,294.72,21.05,164.83,163.48,2.8,94745001984,29.803,9911000064,15.206,26862999552,8.423,12264999936,-0.534,-0.087
Stock,2024-06-03T16:39:40.580091,BRK-A,185.1,625735.0,627400.0,185.1,626164.25,buy,734820.0,660000.0,697410.0,697410.0,2.5,368958013440,255402.66,122753998848,21.246,188992995328,131537.44,107046002688,-0.638,0.052
Stock,2024-06-03T16:39:40.683145,JNJ,148.51,147.25,146.67,146.825,148.88,buy,198.01,142.75,158.56,156.57,2.3,85647998976,34.477,33632000000,48.032,26218000384,10.894,30613000192,No Data,0.023
Stock,2024-06-03T16:39:40.783328,JPM,201.405,202.31,202.63,201.08,202.42,buy,230.0,157.7,208.05,213.5,2.0,150000992256,51.308,840650981376,No Data,1626683998208,566.46,No Data,0.083,0.111
Stock,2024-06-03T16:39:40.881143,NVDA,1135.18,1135.89,1096.33,1130.2,1143.84,buy,1289.4,440.61,1050.13,1105.2,1.8,79773999104,32.336,10990999552,22.366,31438000128,12.769,49274998784,6.293,2.621
Stock,2024-06-03T16:39:40.990442,V,270.95,273.09,272.46,270.37,273.13,buy,313.14,244.06,285.85,285.97,1.9,34140999680,16.876,20603000832,50.89,17703000064,8.85,23942000640,0.124,0.099
Stock,2024-06-03T16:39:41.090709,UNH,496.47,494.13,495.37,493.87,498.68,buy,675.0,460.0,570.92,569.5,1.8,379486994432,410.145,73637003264,75.979,32710000640,35.539,35001999360,No Data,0.086
Stock,2024-06-03T16:39:41.190052,HD,332.32,333.65,334.87,329.538,333.65,buy,391.43,276.3,351.08,359.19,2.3,151830003712,152.785,52005998592,2857.473,4264000000,4.3,24508000256,-0.05,-0.023
Stock,2024-06-03T16:39:41.286298,PG,166.22,163.93,164.54,163.69,166.23,buy,168.54,143.68,158.25,160.25,2.1,84059996160,35.616,31982000128,63.541,6828000256,2.893,24217999360,0.106,0.006
Stock,2024-06-03T16:39:41.386977,MA,442.08,443.48,447.07,441.135,444.955,buy,566.41,390.69,471.91,473.46,1.8,25698000896,27.367,15628999680,213.862,7656999936,8.237,15752999936,0.304,0.104
Stock,2024-06-03T16:39:41.485376,PYPL,63.26,63.03,62.99,62.58,63.41,buy,110.52,55.26,70.36,69.49,2.4,30429999104,28.001,11658000384,56.313,14318000128,13.688,5658999808,0.186,0.094
Stock,2024-06-03T16:39:41.583184,DIS,102.74,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:39:41.681391,BAC,39.655,40.04,39.99,39.6,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:39:41.782483,TSM,153.9,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:39:41.880675,CMCSA,39.845,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:39:51.995345,AAPL,194.3,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:39:52.091195,MSFT,414.33,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:39:52.246613,AMZN,177.1,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:39:52.350861,GOOGL,172.215,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:39:52.446277,META,474.455,470.87,466.83,468.24,477.43,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
Stock,2024-06-03T16:39:52.547817,TSLA,179.64,178.35,178.08,177.25,182.6389,hold,294.72,21.05,164.83,163.48,2.8,94745001984,29.803,9911000064,15.206,26862999552,8.423,12264999936,-0.534,-0.087
Stock,2024-06-03T16:39:52.712968,BRK-A,185.1,625735.0,627400.0,185.1,626164.25,buy,734820.0,660000.0,697410.0,697410.0,2.5,368958013440,255402.66,122753998848,21.246,188992995328,131537.44,107046002688,-0.638,0.052
Stock,2024-06-03T16:39:52.809897,JNJ,148.52,147.25,146.67,146.825,148.88,buy,198.01,142.75,158.56,156.57,2.3,85647998976,34.477,33632000000,48.032,26218000384,10.894,30613000192,No Data,0.023
Stock,2024-06-03T16:39:52.932927,JPM,201.405,202.31,202.63,201.08,202.42,buy,230.0,157.7,208.05,213.5,2.0,150000992256,51.308,840650981376,No Data,1626683998208,566.46,No Data,0.083,0.111
Stock,2024-06-03T16:39:53.028750,NVDA,1135.758,1135.89,1096.33,1130.2,1143.84,buy,1289.4,440.61,1050.13,1105.2,1.8,79773999104,32.336,10990999552,22.366,31438000128,12.769,49274998784,6.293,2.621
Stock,2024-06-03T16:39:53.183243,V,270.95,273.09,272.46,270.37,273.13,buy,313.14,244.06,285.85,285.97,1.9,34140999680,16.876,20603000832,50.89,17703000064,8.85,23942000640,0.124,0.099
Stock,2024-06-03T16:39:53.288350,UNH,496.28,494.13,495.37,493.87,498.68,buy,675.0,460.0,570.92,569.5,1.8,379486994432,410.145,73637003264,75.979,32710000640,35.539,35001999360,No Data,0.086
Stock,2024-06-03T16:39:53.434831,HD,332.15,333.65,334.87,329.538,333.65,buy,391.43,276.3,351.08,359.19,2.3,151830003712,152.785,52005998592,2857.473,4264000000,4.3,24508000256,-0.05,-0.023
Stock,2024-06-03T16:39:53.588317,PG,166.21,163.93,164.54,163.69,166.23,buy,168.54,143.68,158.25,160.25,2.1,84059996160,35.616,31982000128,63.541,6828000256,2.893,24217999360,0.106,0.006
Stock,2024-06-03T16:39:53.685444,MA,442.08,443.48,447.07,441.135,444.955,buy,566.41,390.69,471.91,473.46,1.8,25698000896,27.367,15628999680,213.862,7656999936,8.237,15752999936,0.304,0.104
Stock,2024-06-03T16:39:53.782923,PYPL,63.28,63.03,62.99,62.58,63.41,buy,110.52,55.26,70.36,69.49,2.4,30429999104,28.001,11658000384,56.313,14318000128,13.688,5658999808,0.186,0.094
Stock,2024-06-03T16:39:53.886609,DIS,102.73,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:39:53.987139,BAC,39.65,40.04,39.99,39.6,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:39:54.083701,TSM,153.96,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:39:54.185860,CMCSA,39.84,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:40:04.307610,AAPL,194.365,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:40:04.410673,MSFT,414.33,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:40:04.509589,AMZN,177.06,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
