type,date,symbol,currentPrice,open,previousClose,dayLow,dayHigh,recommendation,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,totalRevenue,revenuePerShare,totalDebt,debtToEquity,totalCash,totalCashPerShare,ebitda,earningsGrowth,revenueGrowth,price_change,average_price,price_to_average_ratio,rolling_mean,rolling_std,cumulative_return
Stock,2024-06-03 16:39:39.989638,AAPL,194.19,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.0033471252056438416,194.62477916666668,0.997766064688534,194.3187857142857,0.26276317872796695,-0.002209433768369129
Stock,2024-06-03 16:39:51.995345,AAPL,194.3,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.05664555332407506,194.62477916666668,0.9983312547967567,194.23164285714287,0.04458766111597745,-0.0016442297811118944
Stock,2024-06-03 16:40:04.307610,AAPL,194.365,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.033453422542462086,194.62477916666668,0.9986652307697972,194.24664285714286,0.06749488516765348,-0.001310245606823579
Stock,2024-06-03 16:40:17.254442,AAPL,194.415,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.025724796130988103,194.62477916666668,0.9989221353644437,194.2687857142857,0.09315482504174266,-0.0010533347035248664
Stock,2024-06-03 16:40:29.325283,AAPL,194.45,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.018002726127086532,194.62477916666668,0.9991019685806963,194.29950000000002,0.11340230744266705,-0.0008734970712157564
Stock,2024-06-03 16:40:41.377241,AAPL,194.64,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.09771149395731982,194.62477916666668,1.0000782060403535,194.36521428571427,0.15737001438826845,0.00010276436131939626
Stock,2024-06-03 16:40:53.386580,AAPL,194.56,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.04110152075625928,194.62477916666668,0.999667158688919,194.41714285714284,0.15231155413758427,-0.00030829308395852184
Stock,2024-06-03 16:41:05.392556,AAPL,194.695,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.06938733552630527,194.62477916666668,1.000360801094465,194.48928571428573,0.14627111162237227,0.0003853663549480135
Stock,2024-06-03 16:41:17.360013,AAPL,194.66,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.017976835563315863,194.62477916666668,1.0001809678782123,194.54071428571427,0.13113061463767053,0.00020552872263901456
Stock,2024-06-03 16:41:29.471044,AAPL,194.71,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.025685811157916127,194.62477916666668,1.0004378724728589,194.58999999999997,0.11828637565963196,0.00046243962593783827
Stock,2024-06-03 16:41:41.681547,AAPL,194.785,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.03851882286476371,194.62477916666668,1.0008232293648287,194.64285714285714,0.10938681908946526,0.0008478059808858518
Stock,2024-06-03 16:41:53.680554,AAPL,194.77,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.007700798316090385,194.62477916666668,1.0007461579864347,194.68857142857146,0.07760553490353013,0.0007707327098962491
Stock,2024-06-03 16:42:05.686787,AAPL,194.69,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.041074087385128966,194.62477916666668,1.0003351106350002,194.69571428571427,0.07463402773054108,0.00035967526461821997
Stock,2024-06-03 16:42:18.613926,AAPL,194.74,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.02568185320253047,194.62477916666668,1.0005920152296468,194.7214285714286,0.04534261109598634,0.0006165861679170437
Stock,2024-06-03 16:42:31.148084,AAPL,194.7769,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.018948341378255407,194.62477916666668,1.000781610820496,194.73312857142855,0.04788196300282666,0.0008061864145514352
Stock,2024-06-03 16:42:43.074844,AAPL,194.85,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.037530117791173545,194.62477916666668,1.0011572053378694,194.76027142857146,0.05308812529818064,0.0011817901551740562
Stock,2024-06-03 16:42:55.923629,AAPL,194.8399,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.0051834744675405275,194.62477916666668,1.0011053106097507,194.7788285714286,0.055246439230772076,0.001129894152707811
Stock,2024-06-03 16:43:08.961431,AAPL,194.82,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.01021351376181423,194.62477916666668,1.0010030625810813,194.78382857142856,0.05743839349842921,0.0010276436131948508
Stock,2024-06-03 16:43:20.997264,AAPL,194.835,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.007699414844486441,194.62477916666668,1.0010801339594755,194.79311428571427,0.06002600626924183,0.0011047168841846755
Stock,2024-06-03 16:43:35.377469,AAPL,194.8099,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.01288269561424693,194.62477916666668,1.0009511678529628,194.81024285714287,0.03918804482505726,0.0009757476107286056
Stock,2024-06-03 16:43:48.300193,AAPL,194.8785,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.03521381613562635,194.62477916666668,1.001303640956818,194.83002857142858,0.032142584126959896,0.0013282293700545011
Stock,2024-06-03 16:44:00.569865,AAPL,194.82,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.03001870396170947,194.62477916666668,1.0010030625810813,194.8361857142857,0.02313521331893712,0.0010276436131948508
Stock,2024-06-03 16:44:12.614055,AAPL,194.79,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.015398829688939575,194.62477916666668,1.0008489198242934,194.82761428571425,0.027807159065806296,0.0008734970712156453
Stock,2024-06-03 16:44:25.220052,AAPL,194.795,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.002566866882292018,194.62477916666668,1.000874610283758,194.8212,0.029620319603358262,0.0008991881615454389
Stock,2024-06-03 16:44:37.202372,AAPL,194.72,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.03850201493877936,194.62477916666668,1.0004892533917882,194.8069142857143,0.048434850696305584,0.0005138218065974254
Stock,2024-06-03 16:44:49.163931,AAPL,194.74,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.010271158586694362,194.62477916666668,1.0005920152296468,194.79334285714285,0.05240075881010539,0.0006165861679170437
Stock,2024-06-03 16:45:01.168353,AAPL,194.63,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.056485570504272165,194.62477916666668,1.0000268251214242,194.76764285714285,0.07985231904711672,5.138218065980915e-05
Stock,2024-06-03 16:45:13.492911,AAPL,194.5717,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.02995427220880975,194.62477916666668,0.9997272743640663,194.72381428571427,0.09211953156246515,-0.00024817593258663617
Stock,2024-06-03 16:45:25.722612,AAPL,194.515,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.029140928511184327,194.62477916666668,0.999435944553737,194.68024285714287,0.10952813728528404,-0.000539512896927441
Stock,2024-06-03 16:45:38.153119,AAPL,194.5466,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.016245533763470377,194.62477916666668,0.9995983082575538,194.64547142857145,0.10749332869679928,-0.000377145206042484
Stock,2024-06-03 16:45:50.702949,AAPL,194.4499,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.04970531481917062,194.62477916666668,0.9991014547715072,194.5961714285714,0.10661836480787516,-0.0008740108930223034
Stock,2024-06-03 16:46:03.048353,AAPL,194.5045,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.028079212177534174,194.62477916666668,0.9993819945888612,194.5653857142857,0.09542944040101245,-0.0005934641866200963
Stock,2024-06-03 16:17:16.274787,AMZN,176.79,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,,176.97990208333331,0.9989269850356008,,,0.0
Stock,2024-06-03 16:17:30.233824,AMZN,176.83,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.022625714124102636,176.97990208333331,0.9991529993995436,,,0.00022625714124102636
Stock,2024-06-03 16:17:42.231465,AMZN,176.84,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.005655149013161775,176.97990208333331,0.9992095029905292,,,0.00028282142655133846
Stock,2024-06-03 16:17:54.097513,AMZN,176.8025,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.021205609590591035,176.97990208333331,0.998997614524333,,,7.070535663800115e-05
Stock,2024-06-03 16:18:05.791077,AMZN,176.9192,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.06600585398961467,176.97990208333331,0.9996570114311356,,,0.0007308105662084952
Stock,2024-06-03 16:18:17.631041,AMZN,176.9,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.010852411722406252,176.97990208333331,0.9995485245364432,,,0.000622207138412989
